Event,Date,Symbol,Price,Quantity,Currency,FeeTax,Exchange,FeeCurrency,DoNotAdjustCash,Note
FEE,2025-03-26 03:00:00,,"0","0",USD,"5",,"","False","Robinhood Gold monthly fee of $5.00."
BUY,2025-03-26 03:00:00,AMZY,"12.75827251","0.00822",USD,"0",NYSE ARCA,"","False","Automatically generated transaction to adjust balance, since the balance reported by broker (1.00822 shares) does not match the imported transaction balance (1.000000000000000000 shares), due to sync limitations."
BUY,2025-03-26 03:00:00,APLY,"12.83490975","0.008587",USD,"0",NYSE ARCA,"","False","Automatically generated transaction to adjust balance, since the balance reported by broker (1.008587 shares) does not match the imported transaction balance (1.000000000000000000 shares), due to sync limitations."
BUY,2025-03-26 03:00:00,BTCI,"35.62180081","0.044891",USD,"0",US,"","False","Automatically generated transaction to adjust balance, since the balance reported by broker (2.044891 shares) does not match the imported transaction balance (2.000000000000000000 shares), due to sync limitations."
BUY,2025-03-26 03:00:00,CHPY,"81.97234727","0.008299",USD,"0",US,"","False","Automatically generated transaction to adjust balance, since the balance reported by broker (1.02572 shares) does not match the imported transaction balance (1.017421000000000000 shares), due to sync limitations."
BUY,2025-03-26 03:00:00,FBY,"10.01","0.008008",USD,"0",US,"","False","Automatically generated transaction to adjust balance, since the balance reported by broker (1.008008 shares) does not match the imported transaction balance (1.000000000000000000 shares), due to sync limitations."
BUY,2025-03-26 03:00:00,GDXY,"13.96366912","41.483963",USD,"0",NYSE ARCA,"","False","Automatically generated transaction to adjust balance, since the balance reported by broker (71.625766 shares) does not match the imported transaction balance (30.141803000000000000 shares), due to sync limitations."
BUY,2025-03-26 03:00:00,GOOY,"15.12993077","1.012249",USD,"0",NYSE ARCA,"","False","Automatically generated transaction to adjust balance, since the balance reported by broker (2.012249 shares) does not match the imported transaction balance (1.000000000000000000 shares), due to sync limitations."
BUY,2025-03-26 03:00:00,IAUI,"56.838","1.01023",USD,"0",US,"","False","Automatically generated transaction to adjust balance, since the balance reported by broker (1.01023 shares) does not match the imported transaction balance (0 shares), due to sync limitations."
BUY,2025-03-26 03:00:00,MLPI,"57.73077301","0.012212",USD,"0",NYSE,"","False","Automatically generated transaction to adjust balance, since the balance reported by broker (1.012212 shares) does not match the imported transaction balance (1.000000000000000000 shares), due to sync limitations."
BUY,2025-03-26 03:00:00,NFLY,"9.58815023","0.006217",USD,"0",NYSE ARCA,"","False","Automatically generated transaction to adjust balance, since the balance reported by broker (1.006217 shares) does not match the imported transaction balance (1.000000000000000000 shares), due to sync limitations."
BUY,2025-03-26 03:00:00,NVDY,"13.78251774","0.010144",USD,"0",NYSE ARCA,"","False","Automatically generated transaction to adjust balance, since the balance reported by broker (1.010144 shares) does not match the imported transaction balance (1.000000000000000000 shares), due to sync limitations."
BUY,2025-03-26 03:00:00,QDTE,"30.97481188","1.016399",USD,"0",BATS,"","False","Automatically generated transaction to adjust balance, since the balance reported by broker (2.029851 shares) does not match the imported transaction balance (1.013452000000000000 shares), due to sync limitations."
BUY,2025-03-26 03:00:00,QQQI,"57.18389166","0.01163",USD,"0",US,"","False","Automatically generated transaction to adjust balance, since the balance reported by broker (1.01163 shares) does not match the imported transaction balance (1.000000000000000000 shares), due to sync limitations."
BUY,2025-03-26 03:00:00,SMCY,"8.91367831","0.015151",USD,"0",NYSE ARCA,"","False","Automatically generated transaction to adjust balance, since the balance reported by broker (66.295879 shares) does not match the imported transaction balance (66.280728000000000000 shares), due to sync limitations."
